Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change,Jan 2022,Jan 2022 change,Dec 2021,Dec 2021 change
Net deposits,20706960509.12,0.040,19916687367.03,0.092,18245787724.89,0.004,18178495886.42,-0.097,20140575277.30,0.011,19922818676.67,0.151,17304814173.57,0.075,16103124113.27,-0.024,16497824501.55,0.376,11986405780.55,0.154,10387670380.37,0.089,9535108823.89,0.118,8529402399.86,0.148,7430808035.37,0.073,6924714457.17,-0.024,7094917384.68,-0.172,8573871537.01,0.071,8003809366.40,0.035,7733825668.79,-0.037,8032421848.47,0.081,7427936443.17,0.082,6866954868.55,0.099,6246731848.01,0.103,5665240340.42,-0.137,6562266119.23,-0.202,8228079264.44,-0.146,9635883331.39,-0.129,11058524783.26,0.162,9519374439.03,-0.236,12452695042.45,-0.245,16492725594.03,-0.257,22182985642.91,0.163,19071026449.06,-0.094,21057959938.15,-0.101,23411643011.37,-0.090,25739604944.81,-0.020
Active loans,8390048317.58,0.039,8076892938.79,0.116,7236720180.11,0.013,7146367283.84,-0.100,7941491241.77,0.039,7640924400.35,0.258,6071817380.55,0.076,5645230620.34,-0.005,5675269277.56,0.365,4156731195.17,0.170,3553268375.70,0.082,3283518239.40,0.135,2892620028.19,0.121,2581085714.29,0.055,2446204087.28,0.006,2430437392.20,-0.135,2809957793.02,0.029,2732029426.53,0.061,2575145153.44,0.017,2533092909.04,0.081,2342860354.64,0.053,2224247056.01,0.110,2003472532.49,0.035,1935232166.94,-0.117,2190739892.93,-0.264,2977392171.32,-0.199,3716096540.58,-0.139,4317867981.30,0.265,3414204466.26,-0.322,5037271063.58,-0.170,6070543122.32,-0.312,8826780304.71,0.306,6758769650.22,-0.209,8548031272.52,-0.214,10873340460.00,-0.056,11514192954.61,0.046
Fees,5354947.77,-0.830,31589588.71,0.318,23972393.90,-0.446,43263991.70,0.182,36613262.61,-0.120,41610542.95,0.320,31532204.03,-0.155,37300125.52,-0.119,42333218.99,1.092,20237173.11,0.087,18623197.26,0.006,18516537.51,0.356,13660195.79,0.295,10552208.57,0.259,8384315.83,-0.247,11135777.08,0.157,9620789.24,0.104,8712563.56,0.107,7872014.08,0.062,7414401.39,-0.265,10087368.57,0.713,5887080.18,-0.117,6670118.14,0.304,5116205.57,-0.215,6516797.19,0.216,5359271.12,-0.505,10832341.69,0.034,10473644.99,0.172,8933304.75,-0.411,15177186.89,-0.139,17634697.63,-0.320,25939910.94,0.319,19672963.33,-0.132,22661839.86,-0.383,36715946.45,-0.124,41894917.67,-0.185
Supply-side fees,4282270.34,-0.830,25239116.67,0.299,19431985.31,-0.469,36584524.36,0.196,30595369.49,-0.103,34123437.85,0.323,25784517.99,-0.178,31384042.62,-0.133,36186810.36,1.104,17195747.25,0.096,15690106.21,0.027,15280157.30,0.337,11427891.14,0.321,8648292.05,0.267,6825744.25,-0.274,9407002.27,0.142,8233982.37,0.080,7620877.27,0.114,6842827.63,0.071,6391102.39,-0.272,8784604.83,0.704,5155348.89,-0.118,5845727.64,0.298,4503105.87,-0.214,5725591.51,0.222,4685934.69,-0.513,9621057.46,0.043,9227141.48,0.170,7886319.54,-0.418,13557819.96,-0.134,15652080.88,-0.328,23274660.44,0.327,17536362.27,-0.132,20212945.59,-0.385,32847153.03,-0.125,37538092.80,-0.185
Revenue,1072680.57,-0.831,6350492.16,0.399,4540424.14,-0.320,6679496.24,0.110,6017899.89,-0.196,7487221.33,0.303,5747697.59,-0.028,5916101.49,-0.037,6146428.35,1.021,3041441.55,0.037,2933113.18,-0.094,3236400.26,0.450,2232319.50,0.172,1903931.48,0.222,1558587.31,-0.098,1728805.17,0.247,1386849.69,0.270,1091699.58,0.061,1029192.85,0.006,1023323.45,-0.215,1302946.41,0.781,731754.88,-0.112,824413.44,0.345,613128.79,-0.225,791271.64,0.175,673356.53,-0.444,1211308.05,-0.028,1246537.66,0.191,1047028.37,-0.354,1619639.44,-0.183,1982716.54,-0.256,2665672.80,0.248,2136714.94,-0.128,2448995.27,-0.367,3868923.38,-0.112,4357005.55,-0.185
Expenses,311162.34,-0.910,3476251.08,-0.238,4560241.83,-0.054,4818917.61,0.326,3632972.14,0.255,2893978.15,-0.329,4313943.61,0.076,4010563.29,-0.346,6129164.12,2.851,1591677.17,-0.353,2460802.74,-0.386,4006063.29,-0.069,4303460.72,0.635,2631367.11,-0.113,2968159.13,1.542,1167575.19,-0.499,2332070.39,-0.033,2411579.64,-0.171,2909676.56,1.057,1414504.37,-0.489,2766422.52,0.123,2464008.34,0.030,2392130.29,0.074,2228025.44,-0.118,2525903.71,-0.259,3410396.22,0.552,2197039.64,-0.416,3765180.88,0.602,2350864.40,-0.210,2976041.29,-0.495,5894513.08,-0.524,12382401.71,0.420,8719264.16,-0.203,10944788.57,0.045,10469576.40,-0.505,21144797.09,0.042
Token incentives,311162.34,-0.910,3476251.08,-0.238,4560241.83,-0.054,4818917.61,0.326,3632972.14,0.255,2893978.15,-0.329,4313943.61,0.076,4010563.29,-0.346,6129164.12,2.851,1591677.17,-0.353,2460802.74,-0.386,4006063.29,-0.069,4303460.72,0.635,2631367.11,-0.113,2968159.13,1.542,1167575.19,-0.499,2332070.39,-0.033,2411579.64,-0.171,2909676.56,1.057,1414504.37,-0.489,2766422.52,0.123,2464008.34,0.030,2392130.29,0.074,2228025.44,-0.118,2525903.71,-0.259,3410396.22,0.552,2197039.64,-0.416,3765180.88,0.602,2350864.40,-0.210,2976041.29,-0.495,5894513.08,-0.524,12382401.71,0.420,8719264.16,-0.203,10944788.57,0.045,10469576.40,-0.505,21144797.09,0.042
Earnings,761518.23,-0.735,2874241.08,146.034,-19817.69,-1.011,1860578.63,-0.220,2384927.75,-0.481,4593243.17,2.204,1433753.98,-0.248,1905538.21,109.375,17264.23,-0.988,1449764.38,2.070,472310.44,1.614,-769663.03,0.628,-2071141.22,-1.847,-727435.63,0.484,-1409571.83,-3.512,561229.98,1.594,-945220.70,0.284,-1319880.06,0.298,-1880483.72,-3.807,-391180.93,0.733,-1463476.11,0.155,-1732253.45,-0.105,-1567716.86,0.029,-1614896.64,0.069,-1734632.06,0.366,-2737039.70,-1.777,-985731.59,0.609,-2518643.22,-0.932,-1303836.03,0.039,-1356401.85,0.653,-3911796.54,0.597,-9716728.91,-0.476,-6582549.22,0.225,-8495793.29,-0.287,-6600653.02,0.607,-16787791.54,-0.124
Treasury,319812710.91,0.904,168011199.65,0.016,165395157.21,0.149,143982385.34,0.076,133769175.17,0.023,130752607.69,-0.003,131149078.60,-0.061,139617393.66,-0.144,163089622.23,0.228,132801870.68,-0.032,137194624.26,-0.036,142366115.25,0.062,134018762.97,0.206,111162002.14,0.102,100884152.66,-0.056,106897203.80,-0.147,125356719.15,0.143,109691404.17,-0.099,121783188.77,-0.012,123215185.79,0.017,121142150.84,-0.119,137485352.48,0.089,126303896.49,0.178,107177956.94,-0.116,121252818.58,-0.150,142658935.69,-0.075,154270442.30,-0.186,189512055.47,0.128,168063406.82,0.039,161758778.23,-0.257,217762721.58,-0.399,362241050.34,0.204,300961204.69,-0.093,331978619.62,-0.232,432092323.50,-0.056
Net treasury,224924380.23,2.699,60810608.84,0.062,57251863.18,0.011,56607518.33,-0.032,58464012.26,0.051,55637630.50,0.062,52404138.92,0.003,52237307.65,0.031,50646467.41,0.076,47071756.59,0.089,43237207.40,0.050,41160124.81,0.102,37361287.85,0.060,35235752.43,-0.002,35308213.44,-0.051,37189788.99,-0.044,38914658.02,0.017,38254209.26,-0.005,38449785.52,0.533,25080827.38,0.185,21164800.59,0.001,21144282.08,-0.085,23100784.48,-0.003,23174870.28,-0.011,23426482.71,-0.011,23682258.28,-0.101,26334491.71,-0.175,31926100.53,0.069,29874245.91,0.031,28979979.72,0.018,28477585.25,-0.053,30075336.71,0.040,28915753.31,0.011,28613666.74,0.019,28078415.89,0.091
Price,136.85,-0.088,150.02,0.031,145.57,0.278,113.91,0.208,94.28,0.027,91.78,0.001,91.67,-0.106,102.49,-0.174,124.12,0.355,91.57,-0.076,99.14,-0.026,101.81,0.085,93.86,0.332,70.48,0.208,58.32,-0.049,61.35,-0.163,73.28,0.267,57.83,-0.125,66.07,-0.128,75.76,0.010,74.99,-0.118,85.00,0.173,72.44,0.229,58.95,-0.124,67.32,-0.142,78.43,-0.045,82.14,-0.145,96.11,0.192,80.61,0.033,78.05,-0.275,107.71,-0.420,185.73,0.277,145.41,-0.068,155.95,-0.238,204.66,-0.032,211.34,-0.278
Circulating supply,14971482.40,0.001,14954786.97,0.002,14932107.23,0.002,14906211.10,0.002,14873249.74,0.002,14849544.03,0.002,14815133.23,0.001,14802964.60,0.003,14762621.55,0.002,14734793.31,0.002,14707377.58,0.003,14669657.74,0.002,14634889.97,0.003,14587157.19,0.003,14539865.53,0.002,14516457.13,0.003,14478801.00,0.003,14428898.87,0.003,14391592.65,0.002,14362320.97,0.003,14317764.87,0.004,14266102.75,0.002,14232467.74,0.002,14204063.00,0.002,14169534.07,0.003,14124345.55,0.004,14071532.67,0.006,13987533.74,0.003,13948101.13,0.004,13889411.13,0.010,13748990.81,0.005,13680135.50,0.003,13642426.13,0.008,13539101.21,0.004,13480845.39,0.004,13432656.26,0.011
Market cap (fully diluted),2189608053.07,-0.088,2400301537.56,0.031,2329048618.70,0.278,1822600065.41,0.208,1508499448.16,0.027,1468492178.21,0.001,1466734261.10,-0.106,1639914009.18,-0.174,1985854108.67,0.355,1465194801.06,-0.076,1586194349.23,-0.026,1628963719.77,0.085,1501762460.74,0.332,1127614702.02,0.208,933126726.15,-0.049,981555331.50,-0.163,1172431198.58,0.267,925218646.59,-0.125,1057186769.45,-0.128,1212222376.52,0.010,1199871934.76,-0.118,1359961289.37,0.173,1158966643.68,0.229,943250420.82,-0.124,1077052655.31,-0.142,1254902703.63,-0.045,1314319223.48,-0.145,1537706070.86,0.192,1289745404.15,0.033,1248797339.10,-0.275,1723290876.81,-0.420,2971661014.82,0.277,2326538263.17,-0.068,2495276599.80,-0.238,3274499633.35,-0.032,3381497917.68,-0.278
Market cap (circulating),2049378580.74,-0.086,2243144074.82,0.032,2174014194.75,0.281,1697631055.54,0.211,1402337967.15,0.029,1363150780.89,0.004,1358098651.11,-0.105,1517694608.74,-0.171,1830733259.30,0.357,1349472026.41,-0.074,1457622209.82,-0.024,1493663057.36,0.088,1372331675.27,0.336,1026829008.07,0.211,847949532.59,-0.048,890420632.52,-0.161,1060779845.07,0.271,834481446.13,-0.123,951095131.14,-0.126,1088157852.82,0.014,1073186891.94,-0.115,1212654132.33,0.177,1030302291.10,0.230,837596095.52,-0.122,953794270.43,-0.139,1107532060.20,-0.041,1155246309.48,-0.140,1344030530.37,0.194,1125616686.63,0.039,1083578233.46,-0.269,1481824328.62,-0.417,2541420045.21,0.281,1983192047.17,-0.061,2111173109.16,-0.236,2763430550.24,-0.026,2838095730.14,-0.269
Token trading volume,894801881.87,-0.881,7544204558.15,-0.338,11396413947.80,0.330,8569267375.61,1.044,4193222909.30,0.219,3440030386.57,0.115,3084893936.05,-0.201,3862423863.88,-0.401,6447894709.71,0.473,4376038268.29,-0.081,4761861446.31,-0.184,5834755238.49,0.104,5284533728.71,0.566,3375169831.56,0.605,2102986155.36,-0.134,2427757565.12,-0.162,2895666633.29,0.415,2046675590.52,0.641,1246857940.32,-0.263,1691202135.30,-0.180,2062110414.74,-0.370,3271179815.91,-0.110,3674361099.44,1.349,1563927403.70,-0.719,5559315134.68,0.659,3350250724.24,-0.153,3953315266.57,-0.402,6607159045.73,-0.258,8898739071.66,0.537,5790427300.12,-0.261,7835248170.91,-0.248,10419187552.57,0.185,8790271475.05,1.246,3913205664.13,-0.579,9292144423.82,0.038,8948863091.51,0.264
Token turnover (fully diluted),0.0818,-0.198,0.1020,-0.378,0.1638,0.077,0.1521,0.685,0.0902,0.141,0.0790,0.185,0.0667,-0.162,0.0796,-0.245,0.1053,0.027,0.1026,0.074,0.0955,-0.162,0.1141,-0.025,0.1170,0.266,0.0925,0.242,0.0744,-0.065,0.0796,0.005,0.0793,0.111,0.0713,0.872,0.0381,-0.175,0.0462,-0.167,0.0555,-0.353,0.0857,-0.122,0.0975,0.835,0.0532,-0.671,0.1616,0.893,0.0854,-0.148,0.1002,-0.272,0.1376,-0.365,0.2167,0.308,0.1657,0.069,0.1550,0.362,0.1138,0.041,0.1093,0.917,0.0570,-0.376,0.0913,0.124
Token turnover (circulating),0.0874,-0.199,0.1091,-0.378,0.1755,0.075,0.1633,0.683,0.0970,0.140,0.0851,0.182,0.0720,-0.162,0.0859,-0.248,0.1143,0.026,0.1114,0.072,0.1040,-0.164,0.1244,-0.029,0.1281,0.260,0.1017,0.242,0.0819,-0.067,0.0878,0.002,0.0876,0.108,0.0791,0.867,0.0423,-0.177,0.0515,-0.170,0.0620,-0.355,0.0960,-0.125,0.1097,0.834,0.0598,-0.672,0.1824,0.886,0.0967,-0.152,0.1140,-0.276,0.1574,-0.366,0.2484,0.300,0.1911,0.061,0.1800,0.352,0.1331,0.037,0.1284,0.907,0.0673,-0.378,0.1082,0.118,0.0968,0.603
Tokenholders,171891,0.005,171007.580645161,0.008,169644.166666667,0.007,168436.483870968,0.002,168033.064516129,-0.001,168189.4,0.002,167834.870967742,0.003,167311.3,0.005,166505.838709677,0.003,165954.275862069,0.005,165166.709677419,0.005,164313.516129032,0.008,162950.6,0.014,160631.322580645,0.015,158229.233333333,0.013,156142.032258065,0.016,153641.451612903,-0.032,158680.133333333,-0.015,161080.870967742,0.009,159700.4,0.020,156622.741935484,0.017,153967.392857143,0.018,151295.032258065,0.040,145474.161290323,0.082,134426.833333333,0.080,124517.161290323,0.023,121715.2,0.016,119837.838709677,0.026,116818.548387097,0.032,113151.833333333,0.028,110033.322580645,0.018,108091.533333333,0.008,107251.677419355,0.008,106415.428571429,0.015,104819.35483871,0.015
P/F ratio (fully diluted),5.79,-0.227,7.49,-0.009,7.55,1.206,3.42,0.055,3.25,-0.002,3.25,-0.164,3.89,0.165,3.34,-0.359,5.21,-0.224,6.71,-0.027,6.90,-0.196,8.58,-0.176,10.41,0.052,9.90,0.093,9.05,0.257,7.20,-0.357,11.20,0.210,9.26,-0.197,11.53,-0.067,12.35,0.010,12.23,-0.326,18.15,0.145,15.85,0.133,13.99,-0.062,14.92,-0.087,16.33,0.708,9.56,-0.300,13.65,0.336,10.22,0.511,6.77,0.117,6.06,-0.460,11.21,0.155,9.71,0.399,6.94,0.005,6.90,0.091
P/F ratio (circulating),5.42,-0.226,7.00,-0.007,7.05,1.211,3.19,0.057,3.02,0.000,3.02,-0.162,3.60,0.166,3.09,-0.356,4.80,-0.224,6.18,-0.025,6.34,-0.194,7.86,-0.173,9.51,0.055,9.01,0.096,8.23,0.260,6.53,-0.356,10.14,0.214,8.35,-0.195,10.37,-0.064,11.08,0.014,10.93,-0.324,16.18,0.148,14.09,0.134,12.43,-0.059,13.21,-0.083,14.41,0.715,8.40,-0.296,11.93,0.337,8.92,0.520,5.87,0.126,5.21,-0.457,9.59,0.159,8.27,0.409,5.87,0.008,5.83,0.097
P/S ratio (fully diluted),28.19,-0.290,39.73,0.003,39.60,0.765,22.43,0.193,18.80,0.024,18.35,-0.177,22.31,0.014,22.00,-0.384,35.74,-0.173,43.22,0.036,41.71,-0.170,50.24,-0.192,62.21,0.181,52.65,-0.009,53.12,0.111,47.80,-0.437,84.89,0.174,72.31,-0.164,86.51,-0.010,87.36,-0.125,99.84,-0.312,145.14,0.128,128.71,0.095,117.53,-0.033,121.55,-0.088,133.32,0.601,83.26,-0.283,116.19,0.292,89.95,0.471,61.14,0.079,56.66,-0.468,106.41,0.197,88.88,0.368,64.97,-0.014,65.91,0.083
P/S ratio (circulating),26.38,-0.289,37.13,0.005,36.96,0.769,20.89,0.196,17.48,0.026,17.04,-0.175,20.66,0.015,20.36,-0.382,32.94,-0.172,39.80,0.038,38.33,-0.168,46.06,-0.190,56.84,0.185,47.95,-0.007,48.27,0.113,43.37,-0.435,76.80,0.178,65.21,-0.162,77.83,-0.007,78.41,-0.122,89.27,-0.310,129.42,0.131,114.42,0.096,104.37,-0.030,107.63,-0.085,117.66,0.608,73.17,-0.279,101.55,0.293,78.52,0.480,53.05,0.088,48.74,-0.464,91.01,0.201,75.77,0.378,54.99,-0.011,55.62,0.089
Active users (daily),5700.20,0.146,4975.35,0.008,4935.57,-0.243,6517.65,-0.010,6586.10,0.109,5940.17,-0.147,6964.87,-0.073,7516.07,0.118,6722.39,0.520,4421.34,0.140,3877.87,0.109,3497.32,0.059,3302.80,0.099,3005.35,0.212,2479.80,-0.016,2520.42,0.001,2517.45,0.034,2435.23,0.282,1900.00,-0.255,2550.10,-0.349,3916.32,0.228,3188.11,-0.193,3948.61,-0.315,5767.90,-0.169,6938.80,0.388,4999.84,0.265,3952.33,0.009,3915.23,0.377,2842.68,-0.192,3519.97,0.006,3499.48,0.346,2599.83,0.044,2490.58,-0.272,3420.14,-0.176,4149.87,-0.108,4652.03,-0.029
Active users (weekly),24875.20,0.153,21573.90,-0.067,23128.40,-0.223,29762.48,-0.057,31557.74,0.060,29759.00,-0.185,36504.58,-0.004,36669.20,0.238,29610.32,0.580,18746.28,0.034,18135.55,0.205,15052.39,-0.036,15609.03,0.204,12966.48,0.119,11585.73,-0.040,12066.55,0.018,11857.45,0.063,11151.90,0.254,8895.77,-0.292,12568.67,-0.305,18080.03,0.136,15917.68,-0.150,18717.35,-0.266,25505.26,-0.108,28590.03,0.518,18828.03,0.129,16674.87,0.064,15669.68,0.276,12280.81,-0.199,15340.90,-0.010,15502.90,0.353,11456.17,0.074,10666.52,-0.231,13865.50,-0.167,16636.81,-0.051,17525.81,-0.042
Active users (monthly),61203.80,0.061,57679.58,-0.208,72815.23,-0.157,86363.61,-0.051,91019.77,-0.035,94324.03,-0.173,114029.71,0.195,95452.67,0.427,66899.68,0.402,47703.62,0.038,45966.94,0.118,41114.90,-0.058,43639.50,0.266,34482.45,0.017,33901.83,-0.074,36601.71,0.051,34832.29,0.135,30682.13,0.033,29696.26,-0.319,43597.27,-0.141,50750.81,0.028,49389.89,-0.048,51853.55,-0.194,64325.32,0.071,60070.73,0.529,39279.00,-0.050,41350.00,0.104,37439.00,0.072,34917.16,-0.149,41040.90,0.021,40192.39,0.369,29357.80,-0.036,30451.87,-0.152,35925.00,-0.063,38348.58,-0.087,42016.97,0.022
Core developers,14.8,-0.136,17.129032258,0.152,14.866666667,-0.212,18.870967742,0.291,14.612903226,-0.010,14.766666667,-0.066,15.806451613,-0.178,19.233333333,0.178,16.322580645,-0.125,18.655172414,0.130,16.516129032,-0.038,17.161290323,-0.111,19.3,0.219,15.838709677,-0.317,23.2,0.053,22.032258065,0.215,18.129032258,-0.024,18.566666667,-0.106,20.774193548,0.241,16.733333333,-0.225,21.580645161,-0.164,25.821428571,0.107,23.322580645,0.135,20.548387097,-0.315,30,0.258,23.838709677,0.077,22.133333333,-0.014,22.451612903,0.134,19.806451613,-0.021,20.233333333,0.083,18.677419355,-0.075,20.2,0.063,19,-0.178,23.107142857,0.334,17.322580645,-0.173,20.935483871,0.229
Code commits,7,-0.943,122,0.184,103,-0.019,105,-0.198,131,0.560,84,-0.294,119,-0.196,148,0.130,131,-0.149,154,0.158,133,0.750,76,-0.506,154,0.791,86,-0.196,107,-0.500,214,0.223,175,-0.419,301,0.314,229,0.331,172,-0.215,219,-0.378,352,0.197,294,-0.246,390,0.157,337,-0.053,356,0.160,307,-0.163,367,0.140,322,0.179,273,-0.185,335,0.269,264,-0.744,1030,-0.142,1201,0.141,1053,0.740,605,0.430