Financial statement,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023
Outstanding supply,2566289323.27,3034738828.61,2723470253.15,502295177.48,23138306.82
Fees,14566030.78,27741907.18,54137568.33,31920315.05,86033.68
Supply-side fees,0.00,0.00,0.00,0.00,0.00
Revenue,14566030.78,27741907.18,54137568.33,31920315.05,86033.68
Expenses,14115940.10,27099155.48,34401186.46,10279470.74,
Cost of revenue,14115940.10,27099155.48,34401186.46,10279470.74,
Gross profit,450090.68,642751.69,19736381.87,21640844.31,86033.68
Earnings,450090.68,642751.69,19736381.87,21640844.31,86033.68
Price,0.35,0.34,0.86,,
Circulating supply,2684375000.00,1798997961.96,1502050235.70,,
Market cap (fully diluted),5277082704.57,5059563241.51,12942174899.08,,
Market cap (circulating),944465892.76,600383897.63,1284878192.11,,
Token trading volume,8947681663.61,9098739576.75,49437696059.64,,
Token turnover (fully diluted),0.0466,0.0203,0.0387,,
Token turnover (circulating),0.2652,0.1684,0.3985,,
Tokenholders,44125.5,40323.086956522,37064.912087912,2.62962963,
P/F ratio (fully diluted),47.76,45.75,66.32,,
P/F ratio (circulating),8.44,5.55,6.53,,
P/S ratio (fully diluted),47.76,45.75,66.32,,
P/S ratio (circulating),8.44,5.55,6.53,,
Active users (daily),0.00,0.38,3.84,4.76,4.60
Active users (weekly),0.00,1.49,14.00,20.07,20.14
Active users (monthly),0.00,7.43,34.35,66.53,35.45
Core developers,3.027777778,5.413043478,0.868131868,0.659340659,0.946666667
Code commits,24,64,24,9,17