Financial statement,Q4 2024,Q4 2024 change,Q3 2024,Q3 2024 change,Q2 2024,Q2 2024 change,Q1 2024,Q1 2024 change,Q4 2023,Q4 2023 change,Q3 2023,Q3 2023 change,Q2 2023,Q2 2023 change,Q1 2023,Q1 2023 change,Q4 2022,Q4 2022 change,Q3 2022,Q3 2022 change,Q2 2022,Q2 2022 change,Q1 2022,Q1 2022 change,Q4 2021,Q4 2021 change,Q3 2021,Q3 2021 change,Q2 2021,Q2 2021 change,Q1 2021,Q1 2021 change,Q4 2020,Q4 2020 change,Q3 2020,Q3 2020 change,Q2 2020,Q2 2020 change,Q1 2020,Q1 2020 change,Q4 2019,Q4 2019 change,Q3 2019,Q3 2019 change,Q2 2019,Q2 2019 change,Q1 2019,Q1 2019 change,Q4 2018,Q4 2018 change,Q3 2018,Q3 2018 change,Q2 2018,Q2 2018 change,Q1 2018,Q1 2018 change
Net deposits,2117800710.97,0.150,1841804499.42,0.146,1606586076.61,0.642,978654100.36,2.204,305411122.18,8.703,31475610.24,1.456,12816710.04,0.303,9839273.93,1.349,4187828.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets staked,2117800710.97,0.150,1841804499.42,0.146,1606586076.61,0.642,978654100.36,2.204,305411122.18,8.703,31475610.24,1.456,12816710.04,0.303,9839273.93,1.349,4187828.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fees,97137328.91,0.129,86058444.86,-0.266,117224721.72,1.806,41776121.33,11.398,3369679.39,42.421,77604.38,0.813,42794.16,8.227,4638.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply-side fees,92280462.46,0.129,81755522.62,-0.266,111363485.63,1.806,39687315.26,11.398,3201195.42,42.421,73724.16,0.813,40654.45,8.227,4406.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,4856866.45,0.129,4302922.24,-0.266,5861236.09,1.806,2088806.07,11.398,168483.97,42.421,3880.22,0.813,2139.71,8.227,231.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,2.16,-0.088,2.37,-0.312,3.45,0.462,2.36,-0.136,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulating supply,127818891.50,0.022,125019784.05,0.034,120924264.91,0.037,116641898.86,0.014,115000000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (fully diluted),2160498785.70,-0.088,2369597077.63,-0.312,3445229475.53,0.462,2357136320.15,-0.136,2728921100.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market cap (circulating),276074989.29,-0.068,296086419.07,-0.289,416248027.91,0.513,275042614.10,-0.123,313590428.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token trading volume,3439506070.17,-0.451,6265055487.63,-0.515,12904590572.38,0.197,10783430354.05,0.467,7351881520.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token turnover (fully diluted),0.0435,0.554,0.0280,-0.287,0.0393,-0.192,0.0487,-0.524,0.1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Token turnover (circulating),0.3407,0.517,0.2246,-0.313,0.3269,-0.218,0.4182,-0.530,0.8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/F ratio (fully diluted),4.48,-0.419,7.71,0.007,7.66,-0.713,26.70,-0.939,439.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/F ratio (circulating),0.57,-0.409,0.97,0.046,0.92,-0.702,3.11,-0.939,50.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/S ratio (fully diluted),89.55,-0.419,154.22,0.007,153.13,-0.713,534.00,-0.939,8794.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/S ratio (circulating),11.42,-0.409,19.34,0.046,18.49,-0.702,62.12,-0.939,1011.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active users (daily),464676.97,2.022,153781.62,0.683,91389.71,1.365,38641.68,12.509,2860.48,105.630,26.83,0.275,21.03,1.899,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core developers,5.416666667,-0.740,20.815217391,1.318,8.978021978,-0.757,36.934065934,0.623,22.760869565,-0.391,37.347826087,-0.268,51,-0.082,55.555555556,0.024,54.239130435,-0.163,64.782608696,-0.084,70.736263736,0.090,64.922222222,0.105,58.72826087,0.331,44.119565217,0.200,36.758241758,0.454,25.277777778,0.253,20.173913043,0.082,18.641304348,0.169,15.945054945,-0.097,17.659340659,-0.066,18.913043478,0.036,18.260869565,0.177,15.516483516,0.004,15.455555556,0.164,13.282608696,0.368,9.706521739,0.286,7.549450549,2.580,2.108695652,
Code commits,51,-0.795,249,2.716,67,-0.886,589,0.801,327,-0.383,530,-0.452,968,-0.180,1181,0.050,1125,-0.175,1364,0.001,1362,-0.136,1576,0.106,1425,0.118,1275,0.093,1167,0.018,1146,-0.043,1198,-0.156,1420,0.277,1112,0.052,1057,0.010,1047,0.092,959,-0.139,1114,-0.320,1638,0.444,1134,-0.093,1250,0.412,885,1.595,341,