Financial statement,Nov 2024,Nov 2024 change,Oct 2024,Oct 2024 change,Sep 2024,Sep 2024 change,Aug 2024,Aug 2024 change,Jul 2024,Jul 2024 change,Jun 2024,Jun 2024 change,May 2024,May 2024 change,Apr 2024,Apr 2024 change,Mar 2024,Mar 2024 change,Feb 2024,Feb 2024 change,Jan 2024,Jan 2024 change,Dec 2023,Dec 2023 change,Nov 2023,Nov 2023 change,Oct 2023,Oct 2023 change,Sep 2023,Sep 2023 change,Aug 2023,Aug 2023 change,Jul 2023,Jul 2023 change,Jun 2023,Jun 2023 change,May 2023,May 2023 change,Apr 2023,Apr 2023 change,Mar 2023,Mar 2023 change,Feb 2023,Feb 2023 change,Jan 2023,Jan 2023 change,Dec 2022,Dec 2022 change,Nov 2022,Nov 2022 change,Oct 2022,Oct 2022 change,Sep 2022,Sep 2022 change,Aug 2022,Aug 2022 change,Jul 2022,Jul 2022 change,Jun 2022,Jun 2022 change,May 2022,May 2022 change,Apr 2022,Apr 2022 change,Mar 2022,Mar 2022 change,Feb 2022,Feb 2022 change
Net deposits,23970328287.16,-0.025,24590615789.88,0.018,24160807031.24,-0.069,25963306561.16,-0.187,31952509278.16,-0.065,34162326370.46,0.102,31005085595.37,0.010,30689484366.59,-0.139,35662315008.36,0.334,26724930337.99,0.203,22218970903.39,0.063,20902900793.21,0.159,18033719809.46,0.227,14696495767.86,0.043,14095314426.55,-0.023,14429219779.04,-0.018,14696429435.13,0.109,13249965073.41,0.091,12148169754.72,0.044,11633510465.67,0.185,9816070452.94,0.156,8489409473.96,0.169,7260558670.38,0.212,5988289339.60,-0.036,6209180697.60,0.010,6148692627.09,-0.048,6456990164.62,-0.116,7306477494.30,0.261,5796240634.14,-0.008,5841812190.43,-0.352,9016201404.58,-0.128,10337001370.55,0.440,7179272145.43,0.332,5389955861.94,0.037
Assets staked,23970328287.16,-0.025,24590615789.88,0.018,24160807031.24,-0.069,25963306561.16,-0.187,31952509278.16,-0.065,34162326370.46,0.102,31005085595.37,0.010,30689484366.59,-0.139,35662315008.36,0.334,26724930337.99,0.203,22218970903.39,0.063,20902900793.21,0.159,18033719809.46,0.227,14696495767.86,0.043,14095314426.55,-0.023,14429219779.04,-0.018,14696429435.13,0.109,13249965073.41,0.091,12148169754.72,0.044,11633510465.67,0.185,9816070452.94,0.156,8489409473.96,0.169,7260558670.38,0.212,5988289339.60,-0.036,6209180697.60,0.010,6148692627.09,-0.048,6456990164.62,-0.116,7306477494.30,0.261,5796240634.14,-0.008,5841812190.43,-0.352,9016201404.58,-0.128,10337001370.55,0.440,7179272145.43,0.332,5389955861.94,0.037
Fees,10632639.40,-0.846,69216226.36,0.034,66925612.44,-0.122,76183036.78,-0.164,91138319.78,-0.067,97672834.54,0.079,90501541.41,-0.014,91750763.96,-0.205,115383765.75,0.421,81215269.92,0.095,74196536.00,0.008,73612029.93,0.185,62117720.97,0.238,50170218.53,0.071,46858810.71,-0.121,53280057.91,-0.046,55858045.90,0.159,48199576.03,-0.248,64121681.51,0.281,50041756.11,0.024,48854014.89,0.366,35755353.96,0.058,33796682.71,0.285,26293150.74,-0.244,34760786.85,0.114,31203222.42,0.195,26122225.27,-0.019,26629784.69,0.248,21339259.54,0.019,20945013.90,-0.342,31837632.63,-0.131,36649196.64,0.314,27884889.72,0.320
Supply-side fees,9569375.46,-0.846,62294603.72,0.034,60233051.19,-0.122,68564733.10,-0.164,82024487.80,-0.067,87905551.09,0.079,81451387.27,-0.014,82575687.56,-0.205,103845389.18,0.421,73093742.93,0.095,66776882.40,0.008,66250826.93,0.185,55905948.87,0.238,45153196.68,0.071,42172929.64,-0.121,47952052.12,-0.046,50272241.31,0.159,43379618.43,-0.248,57709513.36,0.281,45037580.50,0.024,43968613.40,0.366,32179818.57,0.058,30417014.44,0.285,23663835.67,-0.244,31284708.16,0.114,28082900.18,0.195,23510002.74,-0.019,23966806.22,0.248,19205333.59,0.019,18850512.51,-0.342,28653869.37,-0.131,32984276.97,0.314,25096400.75,0.320
Revenue,1063263.94,-0.846,6921622.64,0.034,6692561.24,-0.122,7618303.68,-0.164,9113831.98,-0.067,9767283.45,0.079,9050154.14,-0.014,9175076.40,-0.205,11538376.58,0.421,8121526.99,0.095,7419653.60,0.008,7361202.99,0.185,6211772.10,0.238,5017021.85,0.071,4685881.07,-0.121,5328005.79,-0.046,5585804.59,0.159,4819957.60,-0.248,6412168.15,0.281,5004175.61,0.024,4885401.49,0.366,3575535.40,0.058,3379668.27,0.285,2629315.07,-0.244,3476078.68,0.114,3120322.24,0.195,2612222.53,-0.019,2662978.47,0.248,2133925.95,0.019,2094501.39,-0.342,3183763.26,-0.131,3664919.66,0.314,2788488.97,0.320
Expenses,531631.97,-0.896,5102722.79,0.099,4643557.91,0.072,4333611.72,-0.218,5539240.41,-0.153,6536969.80,0.332,4907809.75,0.070,4587538.20,-0.205,5769188.29,-0.087,6320624.52,0.206,5240773.40,0.424,3680601.50,-0.207,4642463.40,0.565,2967056.58,0.266,2342940.54,-0.344,3572815.92,0.279,2792902.29,0.159,2409978.80,-0.404,4045614.91,-0.010,4088378.54,-0.202,5122733.32,-0.102,5705567.45,0.227,4649918.06,0.093,4255741.26,-0.367,6723144.32,-0.026,6902194.42,-0.287,9678265.37,-0.123,11037360.04,1.999,3680631.09,-0.337,5551071.63,-0.386,9034377.70,-0.438,16070033.50,0.361,11811749.31,0.133,10429248.86,-0.084
Cost of revenue,531631.97,-0.846,3460811.32,0.034,3346280.62,-0.122,3809151.84,-0.164,4556915.99,-0.067,4883641.73,0.079,4525077.07,-0.014,4587538.20,-0.205,5769188.29,0.421,4060763.50,0.095,3709826.80,0.008,3680601.50,0.185,3105886.05,0.238,2508510.93,0.071,2342940.54,-0.121,2664002.90,-0.046,2792902.29,0.159,2409978.80,-0.248,3206084.08,0.281,2502087.81,0.024,2442700.74,0.366,1787767.70,0.058,1689834.14,0.285,1314657.54,-0.244,1738039.34,0.114,1560161.12,0.195,1306111.26,-0.019,1331489.23,0.248,1066962.98,0.019,1047250.70,-0.342,1591881.63,-0.131,1832459.83,0.314,1394244.49,0.320,1055900.14,-0.087
Token incentives,0.00,-1.000,1641911.47,0.266,1297277.29,1.474,524459.89,-0.466,982324.42,-0.406,1653328.07,3.320,382732.68,,0.00,,0.00,-1.000,2259861.02,0.476,1530946.60,,0.00,-1.000,1536577.35,2.351,458545.65,,0.00,-1.000,908813.03,,0.00,,0.00,-1.000,839530.84,-0.471,1586290.74,-0.408,2680032.58,-0.316,3917799.76,0.324,2960083.92,0.006,2941083.72,-0.410,4985104.97,-0.067,5342033.30,-0.362,8372154.10,-0.137,9705870.81,2.714,2613668.11,-0.420,4503820.94,-0.395,7442496.07,-0.477,14237573.67,0.367,10417504.83,0.111
Gross profit,531631.97,-0.846,3460811.32,0.034,3346280.62,-0.122,3809151.84,-0.164,4556915.99,-0.067,4883641.73,0.079,4525077.07,-0.014,4587538.20,-0.205,5769188.29,0.421,4060763.50,0.095,3709826.80,0.008,3680601.50,0.185,3105886.05,0.238,2508510.93,0.071,2342940.54,-0.121,2664002.90,-0.046,2792902.29,0.159,2409978.80,-0.248,3206084.08,0.281,2502087.81,0.024,2442700.74,0.366,1787767.70,0.058,1689834.14,0.285,1314657.54,-0.244,1738039.34,0.114,1560161.12,0.195,1306111.26,-0.019,1331489.23,0.248,1066962.98,0.019,1047250.70,-0.342,1591881.63,-0.131,1832459.83,0.314,1394244.49,0.320
Earnings,531631.97,-0.708,1818899.84,-0.112,2049003.34,-0.376,3284691.95,-0.081,3574591.57,0.107,3230313.66,-0.220,4142344.39,-0.097,4587538.20,-0.205,5769188.29,2.203,1800902.47,-0.173,2178880.20,-0.408,3680601.50,1.345,1569308.70,-0.234,2049965.27,-0.125,2342940.54,0.335,1755189.87,-0.372,2792902.29,0.159,2409978.80,0.018,2366553.24,1.584,915797.07,4.859,-237331.83,0.889,-2130032.06,-0.677,-1270249.79,0.219,-1626426.19,0.499,-3247065.63,0.141,-3781872.18,0.465,-7066042.84,0.156,-8374381.57,-4.414,-1546705.14,0.553,-3456570.24,0.409,-5850614.44,0.528,-12405113.84,-0.375,-9023260.34,-0.085,-8317448.57,0.083
Treasury,199692565.14,-0.087,218659467.76,-0.004,219474869.72,-0.057,232792401.58,-0.271,319368923.27,-0.150,375888589.50,0.061,354169715.29,-0.060,376884589.74,-0.210,476780668.46,0.064,448141030.21,0.023,438108225.52,0.246,351502279.78,0.090,322511093.91,0.311,245934375.73,0.058,232525784.01,-0.110,261195079.80,-0.121,297088792.52,0.038,286280892.75,-0.017,291222166.84,-0.133,335745371.39,-0.062,357905366.86,-0.088,392484085.90,0.282,306057118.36,0.684,181775293.34,-0.164,217421584.39,-0.170,261969010.07,-0.183,320767623.76,-0.185,393343903.09,0.713,229668864.54,0.488,154345963.42,-0.559,349702039.82,-0.479,670942859.41,0.130,593778429.10,0.475
Net treasury,97758051.37,-0.072,105378760.64,-0.002,105567366.62,-0.065,112893007.65,-0.169,135857289.93,-0.077,147120689.74,0.085,135635953.55,0.025,132302338.92,-0.089,145270150.62,0.322,109864177.72,0.154,95214163.58,0.072,88794196.70,0.156,76778408.88,0.166,65836956.67,0.020,64532334.67,-0.071,69491034.69,-0.048,72989709.26,0.031,70763689.56,0.025,69039950.51,-0.029,71070036.22,0.122,63340242.32,0.041,60823395.31,0.091,55740512.46,0.111,50161619.15,-0.038,52147721.03,-0.117,59029842.53,-0.054,62376780.96,0.268,49203994.32,0.407,34964116.81,0.018,34338898.68,-0.354,53142699.92,-0.291,75007234.42,0.087,69012417.35,0.021
Price,0.99,-0.092,1.09,0.011,1.08,-0.061,1.15,-0.334,1.73,-0.197,2.15,0.071,2.01,-0.126,2.30,-0.253,3.08,-0.001,3.08,-0.012,3.12,0.314,2.38,0.066,2.23,0.359,1.64,0.076,1.52,-0.126,1.74,-0.145,2.04,0.038,1.96,-0.022,2.01,-0.142,2.34,-0.050,2.46,-0.068,2.64,0.360,1.94,0.890,1.03,-0.186,1.26,-0.150,1.49,-0.200,1.86,-0.187,2.28,0.941,1.18,0.566,0.75,-0.580,1.79,-0.469,3.37,0.202,2.80,0.592
Circulating supply,895723570.00,0.000,895454677.35,0.000,895279137.37,0.001,894061457.45,0.001,893121978.68,0.000,892824990.30,0.001,892345045.84,0.001,891775057.93,0.000,891695849.65,0.001,890880730.34,0.001,890188437.06,0.000,889803220.97,0.000,890153152.20,0.000,890261792.52,0.001,889122022.80,0.010,880588656.03,0.002,879178749.55,0.000,879492233.27,0.001,878705579.16,0.010,869646441.00,0.017,854763490.65,0.014,843091717.21,0.012,833126429.45,0.024,813513357.39,0.079,753752036.30,0.096,687770985.29,0.103,623467714.30,0.115,559079131.90,0.140,490559760.48,0.157,424089686.10,0.194,355119430.45,0.177,301702613.67,1.297,131368082.29,0.365
Market cap (fully diluted),992256531.08,-0.092,1092609297.04,0.011,1080910895.93,-0.061,1151193139.52,-0.334,1727618095.15,-0.197,2152522040.75,0.071,2010416141.32,-0.126,2300756427.35,-0.253,3079847790.52,-0.001,3081919836.70,-0.012,3120489232.12,0.314,2375557214.99,0.066,2227622433.75,0.359,1639729411.63,0.076,1524248983.47,-0.126,1743481255.89,-0.145,2038256530.69,0.038,1962773269.28,-0.022,2007178422.59,-0.142,2338307805.10,-0.050,2460403914.95,-0.068,2640926676.64,0.360,1942065431.25,0.890,1027590609.73,-0.186,1262658558.86,-0.150,1486010050.95,-0.200,1856519302.50,-0.187,2283173353.05,0.941,1176550372.09,0.566,751231785.39,-0.580,1788431296.12,-0.469,3368395529.93,0.202,2802033270.38,0.592
Market cap (circulating),888613769.35,-0.092,978316108.75,0.011,967840226.76,-0.060,1029363048.78,-0.333,1543403872.03,-0.196,1920606241.96,0.070,1794326874.39,-0.126,2052368877.47,-0.252,2745214511.39,0.000,2746216290.95,-0.011,2777840839.63,0.314,2113858447.40,0.066,1982990391.59,0.359,1459239023.40,0.077,1355439832.16,-0.117,1534237793.39,-0.144,1791623909.85,0.038,1726385706.40,-0.021,1764088819.51,-0.132,2032747022.93,-0.033,2101257957.64,-0.056,2225656795.58,0.375,1618611825.92,0.938,835351103.37,-0.119,948687871.50,-0.072,1022828063.67,-0.115,1155195136.92,-0.091,1270311278.39,1.161,587939935.23,0.867,314922455.03,-0.494,622001123.72,-0.387,1014947126.62,1.605,389552975.10,1.313
Token trading volume,515066214.44,-0.854,3531707197.70,0.114,3171275185.56,-0.004,3184230313.64,-0.310,4616899811.10,0.001,4612300057.70,0.357,3398093628.57,0.428,2379714966.23,-0.343,3620749415.14,0.467,2468650207.66,-0.432,4347380753.11,0.663,2613550904.19,-0.176,3173528536.10,1.904,1092866994.74,0.309,834729132.09,-0.472,1581753208.52,0.155,1369093705.29,0.015,1349381930.80,-0.249,1797915280.62,-0.153,2122767657.72,-0.563,4855386278.10,-0.301,6949328524.25,0.668,4166904751.86,7.181,509352252.02,-0.391,836391445.37,0.227,681435143.90,-0.733,2547600861.64,-0.288,3580159618.03,0.684,2125403982.31,6.149,297308414.88,-0.245,393930580.24,0.911,206153773.77,0.076,191634131.87,1.536
Token turnover (fully diluted),0.1038,-0.006,0.1044,0.069,0.0976,0.085,0.0900,0.034,0.0871,0.204,0.0723,0.377,0.0525,0.519,0.0346,-0.096,0.0383,0.407,0.0272,-0.379,0.0438,0.259,0.0348,-0.264,0.0472,1.222,0.0213,0.167,0.0182,-0.377,0.0292,0.377,0.0212,-0.058,0.0225,-0.213,0.0286,-0.035,0.0297,-0.531,0.0633,-0.328,0.0942,0.399,0.0673,3.218,0.0160,-0.293,0.0226,0.536,0.0147,-0.676,0.0453,-0.113,0.0511,0.034,0.0494,2.061,0.0161,1.007,0.0080,3.118,0.0020,-0.093,0.0022,0.377
Token turnover (circulating),0.1159,-0.006,0.1166,0.069,0.1090,0.083,0.1007,0.033,0.0975,0.202,0.0811,0.377,0.0588,0.518,0.0388,-0.097,0.0429,0.406,0.0305,-0.380,0.0492,0.259,0.0391,-0.263,0.0530,1.220,0.0239,0.166,0.0205,-0.384,0.0332,0.376,0.0242,-0.058,0.0256,-0.214,0.0326,-0.046,0.0342,-0.539,0.0741,-0.337,0.1118,0.383,0.0808,3.121,0.0196,-0.347,0.0300,0.412,0.0213,-0.709,0.0732,-0.199,0.0913,-0.085,0.0998,1.678,0.0373,0.660,0.0224,2.459,0.0065,-0.638,0.0179,0.108
Tokenholders,48266,0.004,48080.709677419,0.007,47735.833333333,0.014,47072.451612903,0.021,46088.612903226,0.019,45240.933333333,0.012,44706.612903226,0.005,44486.866666667,-0.003,44611.516129032,0.014,44013.275862069,0.012,43472.129032258,0.020,42620.516129032,0.016,41942.633333333,0.026,40873.935483871,0.027,39817.5,0.027,38758.709677419,0.028,37695.548387097,0.032,36528.166666667,0.041,35101.903225806,0.017,34524.733333333,0.048,32940.032258065,0.110,29683.25,0.101,26970.322580645,0.071,25185,0.076,23407.233333333,0.076,21748.161290323,0.053,20655.966666667,0.102,18740.967741935,0.116,16799.709677419,0.070,15705.966666667,0.061,14799.032258065,0.110,13337,0.090,12236.35483871,0.049
P/F ratio (fully diluted),1.22,-0.079,1.32,-0.020,1.35,0.183,1.14,-0.274,1.57,-0.131,1.80,-0.077,1.96,0.044,1.87,-0.242,2.47,-0.273,3.40,-0.055,3.60,0.253,2.87,-0.122,3.27,0.134,2.88,0.121,2.57,-0.038,2.67,-0.195,3.32,0.090,3.04,0.087,2.80,-0.299,3.99,-0.162,4.77,-0.194,5.91,0.040,5.69,0.937,2.94,-0.037,3.05,-0.301,4.36,-0.281,6.07,-0.211,7.69,0.495,5.14,1.209,2.33,-0.448,4.22,-0.503,8.49,-0.121,9.66,0.450
P/F ratio (circulating),1.09,-0.079,1.18,-0.020,1.21,0.185,1.02,-0.274,1.40,-0.130,1.61,-0.077,1.75,0.044,1.67,-0.241,2.20,-0.273,3.03,-0.054,3.20,0.254,2.55,-0.122,2.91,0.135,2.56,0.122,2.28,-0.028,2.35,-0.195,2.92,0.089,2.68,0.088,2.46,-0.291,3.47,-0.147,4.07,-0.183,4.98,0.051,4.74,0.982,2.39,0.046,2.29,-0.237,3.00,-0.206,3.78,-0.115,4.27,0.663,2.57,1.618,0.98,-0.333,1.47,-0.424,2.55,0.939,1.32,1.066
P/S ratio (fully diluted),12.15,-0.079,13.19,-0.020,13.46,0.183,11.38,-0.274,15.68,-0.131,18.05,-0.077,19.55,0.044,18.73,-0.242,24.71,-0.273,33.99,-0.055,35.96,0.253,28.70,-0.122,32.67,0.134,28.80,0.121,25.68,-0.038,26.69,-0.195,33.17,0.090,30.43,0.087,27.99,-0.299,39.93,-0.162,47.66,-0.194,59.12,0.040,56.87,0.937,29.37,-0.037,30.48,-0.301,43.60,-0.281,60.67,-0.211,76.91,0.495,51.43,1.209,23.28,-0.448,42.17,-0.503,84.89,-0.121,96.58,0.450
P/S ratio (circulating),10.88,-0.079,11.81,-0.020,12.05,0.185,10.18,-0.274,14.01,-0.130,16.10,-0.077,17.45,0.044,16.71,-0.241,22.03,-0.273,30.29,-0.054,32.01,0.254,25.53,-0.122,29.08,0.135,25.63,0.122,22.84,-0.028,23.49,-0.195,29.16,0.089,26.77,0.088,24.60,-0.291,34.71,-0.147,40.69,-0.183,49.82,0.051,47.38,0.982,23.91,0.046,22.87,-0.237,29.98,-0.206,37.76,-0.115,42.68,0.663,25.67,1.618,9.81,-0.333,14.71,-0.424,25.53,0.939,13.17,1.066
Active users (daily),294.60,0.104,266.81,-0.072,287.50,-0.288,403.74,-0.174,489.00,0.027,476.17,-0.372,758.71,0.006,753.87,0.440,523.58,-0.676,1614.83,2.139,514.48,0.002,513.61,0.152,446.03,-0.249,594.13,0.090,545.17,-0.144,637.19,0.102,577.97,0.191,485.17,0.231,394.23,-0.007,397.03,0.063,373.65,-0.319,548.50,0.451,378.00,-0.013,383.16,-0.251,511.47,0.359,376.45,-0.019,383.57,0.498,256.00,0.305,196.23,0.385,141.67,-0.643,396.42,0.536,258.10,-0.115,291.77,0.028,283.96,1.034
Active users (weekly),1834.80,0.121,1636.45,-0.103,1824.37,-0.272,2507.42,-0.207,3160.97,0.088,2905.03,-0.451,5289.45,0.061,4984.13,0.481,3364.32,-0.687,10743.03,2.268,3286.87,0.024,3210.32,0.055,3042.17,-0.211,3857.94,0.118,3451.97,-0.169,4155.90,0.105,3759.68,0.202,3127.87,0.270,2463.39,-0.058,2614.47,0.066,2451.97,-0.332,3669.68,0.485,2471.48,-0.038,2568.06,-0.240,3378.20,0.378,2451.00,0.010,2425.63,0.406,1724.94,0.411,1222.48,0.134,1078.27,-0.589,2623.77,0.512,1735.13,-0.029,1786.77,-0.038,1857.71,1.042
Active users (monthly),6375.00,0.020,6248.03,-0.217,7976.27,-0.230,10353.23,-0.196,12878.94,0.016,12672.40,-0.463,23613.23,0.389,17001.03,-0.086,18593.90,-0.505,37558.86,1.777,13524.23,0.226,11035.52,-0.183,13511.37,-0.080,14681.81,-0.053,15503.73,0.101,14076.45,-0.008,14185.42,0.249,11355.13,0.217,9330.23,-0.091,10261.60,-0.176,12451.68,0.079,11537.86,0.197,9637.19,-0.162,11500.81,0.027,11193.67,0.043,10729.06,0.304,8228.67,0.308,6289.32,0.515,4151.42,-0.383,6733.43,-0.297,9573.13,0.324,7228.87,0.029,7023.84,0.200,5851.57,0.528
Core developers,45.6,-0.024,46.709677419,-0.092,51.466666667,0.023,50.290322581,0.138,44.193548387,-0.078,47.933333333,0.048,45.741935484,0.052,43.5,-0.045,45.548387097,-0.039,47.413793103,0.213,39.096774194,0.039,37.64516129,-0.118,42.666666667,-0.107,47.774193548,0.290,37.033333333,0.149,32.225806452,-0.001,32.258064516,0.017,31.733333333,-0.215,40.419354839,-0.236,52.9,0.049,50.451612903,0.127,44.785714286,0.142,39.225806452,0.006,39,0.183,32.966666667,0.047,31.483870968,-0.087,34.466666667,-0.110,38.741935484,0.062,36.483870968,-0.073,39.366666667,-0.093,43.387096774,0.095,39.633333333,0.265,31.322580645,-0.173,37.892857143,0.105
Code commits,93,-0.881,779,-0.067,835,-0.140,971,0.541,630,-0.043,658,0.329,495,-0.351,763,0.106,690,-0.010,697,0.242,561,0.033,543,0.084,501,-0.310,726,0.325,548,0.135,483,0.364,354,-0.033,366,-0.510,747,-0.189,921,-0.169,1108,-0.257,1492,1.072,720,-0.190,889,0.497,594,0.212,490,0.029,476,-0.083,519,0.020,509,-0.473,965,0.625,594,-0.166,712,0.618,440,-0.095,486,-0.252